account_name,symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,volume,stop_loss,take_profit,score,pnl
account_1_no_decay,TSLA.NAS,sell,2023-01-03 20:05:00+00:00,105.34,2023-01-03 20:10:00+00:00,104.70796,take_profit,197.77229289285825,105.65602,104.70796,-0.18182147128155102,125.00000000000281
account_1_no_decay,NFLX.NAS,sell,2023-01-03 20:20:00+00:00,29.24,2023-01-03 20:25:00+00:00,29.327719999999996,stop_loss,714.2755357957352,29.327719999999996,29.064559999999997,-0.1513628797648951,-62.65625000000001
account_1_no_decay,NFLX.NAS,sell,2023-01-03 20:35:00+00:00,29.39,2023-01-03 20:50:00+00:00,29.47817,stop_loss,709.7417453499077,29.47817,29.21366,-0.20027910042987312,-62.577929687499996
account_1_no_decay,CRM.NYSE,buy,2023-01-03 19:50:00+00:00,133.057,2023-01-03 21:05:00+00:00,133.85534199999998,take_profit,156.57450065260429,132.657829,133.85534199999998,0.1527408274511496,125.0
account_1_no_decay,CRM.NYSE,buy,2023-01-03 20:50:00+00:00,133.465,2023-01-03 21:30:00+00:00,134.26579,take_profit,156.29048736247833,133.064605,134.26579,0.17089091748633284,125.155859375
account_1_no_decay,ADBE.NAS,buy,2023-01-03 21:05:00+00:00,336.03,2023-01-03 21:30:00+00:00,335.02191,stop_loss,61.99814230415119,335.02191,338.04618,0.1895437315106392,-62.49970727539063
account_1_no_decay,CRM.NYSE,buy,2023-01-03 21:20:00+00:00,133.985,2023-01-03 21:45:00+00:00,134.78891000000002,take_profit,155.87803927154206,133.58304500000003,134.78891000000002,0.2861167739914811,125.31191455078567
account_1_no_decay,CRM.NYSE,buy,2023-01-03 21:35:00+00:00,133.95,2023-01-03 21:45:00+00:00,134.75369999999998,take_profit,156.11366794952286,133.54815,134.75369999999998,0.28670751562585,125.46855493103028
account_1_no_decay,TSLA.NAS,sell,2023-01-03 22:05:00+00:00,108.05,2023-01-03 22:10:00+00:00,107.40169999999999,take_profit,194.50178328665615,108.37414999999999,107.40169999999999,-0.2795524914986093,126.09550610474037
account_1_no_decay,CRM.NYSE,buy,2023-01-03 21:50:00+00:00,135.03,2023-01-03 22:40:00+00:00,134.62491,stop_loss,155.6388779095194,134.62491,135.84018,0.27432075994355337,-63.04775305236742
account_1_no_decay,CRM.NYSE,buy,2023-01-03 22:20:00+00:00,135.125,2023-01-03 22:40:00+00:00,134.719625,stop_loss,155.91827921060636,134.719625,135.93575,0.30520013826234,-63.205372434998345
account_1_no_decay,CRM.NYSE,buy,2023-01-03 22:35:00+00:00,135.075,2023-01-03 22:40:00+00:00,134.669775,stop_loss,155.9759946572845,134.669775,135.88545,0.26620810859733157,-63.205372434998345
account_1_no_decay,MVRS.NAS,sell,2023-01-03 22:50:00+00:00,124.83,2023-01-04 16:35:00+00:00,125.20448999999998,stop_loss,168.14480843974133,125.20448999999998,124.08102,-0.1751220147105939,-62.96854931259541
account_1_no_decay,ADBE.NAS,buy,2023-01-04 16:50:00+00:00,343.95,2023-01-04 16:55:00+00:00,342.91814999999997,stop_loss,60.94862492218194,342.91814999999997,346.0137,0.3441646844148636,-62.88983862595465
account_1_no_decay,NFLX.NAS,buy,2023-01-04 17:05:00+00:00,29.95,2023-01-04 17:10:00+00:00,29.86015,stop_loss,699.0676274643663,29.86015,30.1297,0.28017523050133436,-62.811226327672216
account_1_no_decay,NFLX.NAS,buy,2023-01-04 17:20:00+00:00,29.9,2023-01-04 17:30:00+00:00,30.0794,take_profit,699.3613410787317,29.810299999999998,30.0794,0.29032810224640754,125.46542458952524
account_1_no_decay,NFLX.NAS,buy,2023-01-04 17:35:00+00:00,30.11,2023-01-04 17:40:00+00:00,30.29066,take_profit,696.2199056293416,30.019669999999998,30.29066,0.3002633741368418,125.77908815099657
account_1_no_decay,ADBE.NAS,buy,2023-01-04 17:50:00+00:00,340.135,2023-01-04 18:30:00+00:00,342.17581,take_profit,61.78602411365031,339.114595,342.17581,0.3408786207437515,126.09353587138004
account_1_no_decay,ADBE.NAS,buy,2023-01-04 18:05:00+00:00,340.225,2023-01-04 18:35:00+00:00,342.26635000000005,take_profit,61.769679805706346,339.20432500000004,342.26635000000005,0.4243509918451309,126.09353587138006
account_1_no_decay,ADBE.NAS,buy,2023-01-04 18:20:00+00:00,340.7,2023-01-04 18:35:00+00:00,342.7442,take_profit,61.683561232449705,339.67789999999997,342.7442,0.4697234183549881,126.09353587137304
account_1_no_decay,TSLA.NAS,sell,2023-01-04 19:35:00+00:00,112.44,2023-01-04 19:50:00+00:00,112.77731999999999,stop_loss,188.30670785962175,112.77731999999999,111.76536,-0.3629745821345527,-63.51961869520595
account_1_no_decay,ADBE.NAS,buy,2023-01-04 18:50:00+00:00,343.055,2023-01-04 19:55:00+00:00,342.02583500000003,stop_loss,61.7195675088128,342.02583500000003,345.11333,0.5093852281570435,-63.51961869520595
account_1_no_decay,ADBE.NAS,buy,2023-01-04 19:05:00+00:00,342.97,2023-01-04 19:55:00+00:00,341.94109000000003,stop_loss,61.73486378323292,341.94109000000003,345.02782,0.54304039478302,-63.51961869520595
account_1_no_decay,ADBE.NAS,buy,2023-01-04 19:20:00+00:00,342.935,2023-01-04 19:55:00+00:00,341.906195,stop_loss,61.741164453134814,341.906195,344.99261,0.5738195776939392,-63.51961869520595
account_1_no_decay,ADBE.NAS,buy,2023-01-04 19:50:00+00:00,343.19,2023-01-04 19:55:00+00:00,342.16043,stop_loss,61.6952889994923,342.16043,345.24914,0.5461527705192566,-63.51961869520595
account_1_no_decay,ADBE.NAS,buy,2023-01-04 18:35:00+00:00,341.97,2023-01-04 20:00:00+00:00,340.94409,stop_loss,61.608118505060744,340.94409,344.02182000000005,0.5057104974985123,-63.2043848555275
account_1_no_decay,TSLA.NAS,sell,2023-01-04 20:05:00+00:00,111.84,2023-01-04 20:15:00+00:00,112.17551999999999,stop_loss,187.8982343743851,112.17551999999999,111.16896,-0.33637843976601467,-63.04361559729149
account_1_no_decay,TSLA.NAS,sell,2023-01-04 20:20:00+00:00,112.55,2023-01-04 20:30:00+00:00,112.88764999999998,stop_loss,186.47952340529596,112.88764999999998,111.87469999999999,-0.38383862409824715,-62.96481107779487
account_1_no_decay,MVRS.NAS,sell,2023-01-04 20:35:00+00:00,127.94,2023-01-04 20:55:00+00:00,127.17236,take_profit,163.84269986960018,128.32381999999998,127.17236,-0.2677538456352613,125.7722101278999
account_1_no_decay,ADBE.NAS,buy,2023-01-04 20:50:00+00:00,342.105,2023-01-04 20:55:00+00:00,341.078685,stop_loss,61.273687965144184,341.078685,344.15763000000004,0.3423442244529724,-62.886105063947625
account_1_no_decay,MVRS.NAS,sell,2023-01-04 21:05:00+00:00,126.64,2023-01-04 21:10:00+00:00,127.01991999999998,stop_loss,165.73150319877917,127.01991999999998,125.88016,-0.3327635094804584,-62.964712695277576
account_1_no_decay,ADBE.NAS,buy,2023-01-04 21:20:00+00:00,341.731,2023-01-04 21:25:00+00:00,340.705807,stop_loss,61.340651764505196,340.705807,343.781386,0.3353949189186096,-62.886006804408474
account_1_no_decay,CRM.NYSE,sell,2023-01-04 21:35:00+00:00,137.946,2023-01-04 21:40:00+00:00,138.359838,stop_loss,151.76808146159416,138.359838,137.118324,-0.3178170013480482,-62.80739929590296
account_1_no_decay,ADBE.NAS,buy,2023-01-04 21:50:00+00:00,339.48,2023-01-04 21:55:00+00:00,341.51688,take_profit,61.593113042283484,338.46156,341.51688,0.3200835585594177,125.45778009356617
account_1_no_decay,ADBE.NAS,buy,2023-01-04 22:05:00+00:00,342.28,2023-01-04 22:10:00+00:00,341.25316,stop_loss,61.241977593296404,341.25316,344.33367999999996,0.38782376050949097,-62.88571227190004
account_1_no_decay,ADBE.NAS,buy,2023-01-04 22:20:00+00:00,341.58,2023-01-04 22:25:00+00:00,340.55526,stop_loss,61.29077144598595,340.55526,343.62948,0.3950568437576294,-62.807105131560164
account_1_no_decay,ADBE.NAS,buy,2023-01-04 22:35:00+00:00,339.8,2023-01-04 22:40:00+00:00,338.7806,stop_loss,61.534820728020954,338.7806,341.8388,0.39136356115341187,-62.72859625014571
account_1_no_decay,MVRS.NAS,sell,2023-01-04 22:50:00+00:00,126.93,2023-01-05 16:35:00+00:00,126.16842000000001,take_profit,164.52686652704799,127.31079,126.16842000000001,-0.3860896150119432,125.30037100966838
account_1_no_decay,MVRS.NAS,sell,2023-01-05 16:50:00+00:00,124.9,2023-01-05 16:55:00+00:00,125.2747,stop_loss,167.6189243891027,125.2747,124.15060000000001,-0.46586672830379616,-62.80681096859511
account_1_no_decay,CRM.NYSE,sell,2023-01-05 17:05:00+00:00,136.115,2023-01-05 17:10:00+00:00,136.523345,stop_loss,153.6159435156175,136.523345,135.29831000000001,-0.4708148655684098,-62.72830245488437
account_1_no_decay,CRM.NYSE,sell,2023-01-05 17:20:00+00:00,135.435,2023-01-05 17:40:00+00:00,135.84130499999998,stop_loss,154.194243429984,135.84130499999998,134.62239,-0.4878937162788039,-62.64989207681577
account_1_no_decay,CRM.NYSE,sell,2023-01-05 17:35:00+00:00,135.335,2023-01-05 17:40:00+00:00,135.741005,stop_loss,154.3081786599101,135.741005,134.52299000000002,-0.6486473562029319,-62.64989207681577
account_1_no_decay,CRM.NYSE,sell,2023-01-05 17:50:00+00:00,136.045,2023-01-05 17:55:00+00:00,135.22872999999998,take_profit,153.11910849749637,136.45313499999997,135.22872999999998,-0.5651618329432642,124.98653469325181
account_1_no_decay,CRM.NYSE,sell,2023-01-05 18:05:00+00:00,135.494,2023-01-05 18:10:00+00:00,135.90048199999998,stop_loss,154.12613723361173,135.90048199999998,134.681036,-0.5228488217874703,-62.649500514990294
account_1_no_decay,TSLA.NAS,sell,2023-01-05 18:20:00+00:00,108.39,2023-01-05 18:30:00+00:00,108.71516999999999,stop_loss,192.4260806327438,108.71516999999999,107.73966,-0.6083930780929802,-62.57118863934656
account_1_no_decay,TSLA.NAS,sell,2023-01-05 18:35:00+00:00,109.05,2023-01-05 18:40:00+00:00,109.37714999999999,stop_loss,191.02238928182632,109.37714999999999,108.39569999999999,-0.5714473214033431,-62.49297465354737
account_1_no_decay,TSLA.NAS,sell,2023-01-05 18:50:00+00:00,109.89,2023-01-05 18:55:00+00:00,110.21967,stop_loss,189.32525991212958,110.21967,109.23066,-0.593210457370872,-62.414858435230435
account_1_no_decay,TSLA.NAS,sell,2023-01-05 19:05:00+00:00,109.89,2023-01-05 19:10:00+00:00,110.21967,stop_loss,189.08860333723942,110.21967,109.23066,-0.4758077569339918,-62.3368398621864
account_1_no_decay,TSLA.NAS,sell,2023-01-05 19:20:00+00:00,109.55,2023-01-05 19:25:00+00:00,109.87864999999998,stop_loss,189.43836547196742,109.87864999999998,108.89269999999999,-0.5651172492149714,-62.258918812358665
account_1_no_decay,TSLA.NAS,sell,2023-01-05 19:35:00+00:00,109.93,2023-01-05 19:40:00+00:00,109.27042,take_profit,188.547545904501,110.25979,109.27042,-0.4798780008165847,124.36219032769178
account_1_no_decay,CRM.NYSE,sell,2023-01-05 19:50:00+00:00,135.037,2023-01-05 20:00:00+00:00,134.226778,take_profit,153.87522901564367,135.44211099999998,134.226778,-0.4757079832199821,124.67309580351441
account_1_no_decay,CRM.NYSE,sell,2023-01-05 20:05:00+00:00,134.375,2023-01-05 20:20:00+00:00,134.778125,stop_loss,155.01988036343315,134.778125,133.56875,-0.40892661323375773,-62.49238927150722
account_1_no_decay,CRM.NYSE,sell,2023-01-05 20:20:00+00:00,134.232,2023-01-05 20:25:00+00:00,134.634696,stop_loss,155.18502610283812,134.634696,133.426608,-0.48921022210057696,-62.492389271507214
account_1_no_decay,CRM.NYSE,sell,2023-01-05 20:35:00+00:00,135.76,2023-01-05 21:10:00+00:00,136.16727999999998,stop_loss,153.05479841467937,136.16727999999998,134.94544,-0.3014377738666717,-62.33615829832845
account_1_no_decay,MVRS.NAS,sell,2023-01-05 21:20:00+00:00,127.33,2023-01-05 21:35:00+00:00,127.71198999999999,stop_loss,162.98394748673408,127.71198999999999,126.56602,-0.28954535959533945,-62.258238100455536
account_1_no_decay,MVRS.NAS,sell,2023-01-05 21:35:00+00:00,127.59,2023-01-05 21:40:00+00:00,127.97276999999998,stop_loss,162.65182250557484,127.97276999999998,126.82446,-0.25743908511595126,-62.25823810045553
account_1_no_decay,NKE.NYSE,buy,2023-01-05 21:50:00+00:00,121.38,2023-01-05 22:05:00+00:00,121.01585999999999,stop_loss,170.54592328555876,121.01585999999999,122.10828,0.32705347164839255,-62.10259250520441
account_1_no_decay,NDAQ.NAS,buy,2023-01-05 20:50:00+00:00,60.585,2023-01-05 22:10:00+00:00,60.403245,stop_loss,342.96805203888516,60.403245,60.94851,0.2939513102173805,-62.33615829832845
account_1_no_decay,NKE.NYSE,buy,2023-01-05 21:05:00+00:00,121.22,2023-01-05 22:10:00+00:00,120.85634,stop_loss,171.4132934563305,120.85634,121.94732,0.3311239189879839,-62.33615829832844
account_1_no_decay,CRM.NYSE,sell,2023-01-05 22:05:00+00:00,136.6,2023-01-05 22:25:00+00:00,135.7804,take_profit,151.5436615549193,137.00979999999998,135.7804,-0.3143075903450005,124.20518501041313
account_1_no_decay,MVRS.NAS,sell,2023-01-05 22:35:00+00:00,127.68,2023-01-05 22:50:00+00:00,126.91392,take_profit,161.92664042943574,128.06304,126.91392,-0.4057843741103123,124.0487607001825
account_1_no_decay,CRM.NYSE,sell,2023-01-05 22:20:00+00:00,136.025,2023-01-06 16:35:00+00:00,136.433075,stop_loss,151.61213960381693,136.433075,135.20885,-0.4103477138605563,-61.86912386882708
account_1_no_decay,MVRS.NAS,sell,2023-01-05 22:50:00+00:00,127.28,2023-01-06 16:35:00+00:00,127.66183999999998,stop_loss,162.435523648892,127.66183999999998,126.51632000000001,-0.4115123023906077,-62.0243803500901
account_1_no_decay,AMZN.NAS,sell,2023-01-06 16:50:00+00:00,81.829,2023-01-06 16:55:00+00:00,82.07448699999999,stop_loss,252.6593034282565,82.07448699999999,81.338026,-0.22960730576978147,-62.02457442069168
account_1_no_decay,NDAQ.NAS,buy,2023-01-06 17:05:00+00:00,60.88,2023-01-06 17:15:00+00:00,61.24528,take_profit,339.175666352749,60.69736,61.24528,0.32895175686904365,123.89408740533163
account_1_no_decay,MVRS.NAS,sell,2023-01-06 17:35:00+00:00,128.27,2023-01-06 17:40:00+00:00,128.65481,stop_loss,161.38330945641877,128.65481,127.50038,-0.4623229548207715,-62.10191131192248
account_1_no_decay,MVRS.NAS,sell,2023-01-06 17:20:00+00:00,128.32,2023-01-06 18:00:00+00:00,128.70495999999997,stop_loss,161.3204263090347,128.70495999999997,127.55008,-0.3661276838208875,-62.101911311922485
account_1_no_decay,MVRS.NAS,sell,2023-01-06 17:50:00+00:00,128.36,2023-01-06 18:05:00+00:00,128.74508,stop_loss,161.068567369857,128.74508,127.58984000000001,-0.4618654850998829,-62.02428392278258
account_1_no_decay,MVRS.NAS,sell,2023-01-06 18:05:00+00:00,128.69,2023-01-06 18:30:00+00:00,129.07607,stop_loss,160.45446818878534,129.07607,127.91785999999999,-0.4382203572835678,-61.94665653364267
account_1_no_decay,MVRS.NAS,sell,2023-01-06 18:20:00+00:00,128.68,2023-01-06 18:30:00+00:00,129.06604,stop_loss,160.26610242136152,129.06604,127.90792,-0.4508592500331554,-61.86912617873919
account_1_no_decay,AMZN.NAS,sell,2023-01-06 18:35:00+00:00,84.146,2023-01-06 18:50:00+00:00,84.398438,stop_loss,244.47332196558847,84.398438,83.641124,-0.46455105092931304,-61.71435645034872
account_1_no_decay,AMZN.NAS,sell,2023-01-06 18:50:00+00:00,84.303,2023-01-06 18:55:00+00:00,84.55590899999999,stop_loss,244.01803198127223,84.55590899999999,83.79718199999999,-0.3481221040089925,-61.71435645034872
account_1_no_decay,TSLA.NAS,sell,2023-01-06 19:05:00+00:00,111.69,2023-01-06 19:10:00+00:00,111.01986,take_profit,183.72301477071994,112.02506999999999,111.01986,-0.36246721999029097,123.1201411184509
account_1_no_decay,MVRS.NAS,sell,2023-01-06 19:20:00+00:00,128.89,2023-01-06 20:25:00+00:00,129.27666999999997,stop_loss,159.6037208359168,129.27666999999997,128.11666,-0.22819275793726326,-61.71397073562091
