account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,66774.87163183933,66818.10021227362,5763,2199,3551,16774.871631839433
account_2_decay,69144.26253580407,69212.72603652423,5816,2228,3576,19144.262535804086
