account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,66818.10021227364,66818.10021227364,5768,2202,3553,16818.100212273726
account_2_decay,69212.72603652423,69212.72603652423,5821,2232,3577,19212.72603652424
