account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,77354.9218886999,77354.9218886999,6084,2204,3880,27354.92188870004
account_2_decay,82791.09963416457,82791.09963416457,6078,2228,3850,32791.09963416433
