account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,55221.435476748695,55221.435476748695,5855,2200,3636,5221.435476748443
account_2_decay,51842.130230310286,51842.130230310286,5866,2204,3645,1842.1302303101997
