account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,55384.05946221532,55221.435476748695,5852,2200,3633,5384.059462215067
account_2_decay,51888.750851020995,51842.130230310286,5865,2204,3644,1888.7508510209095
