time,account_name,cash,equity,open_positions
2024-01-02 16:35:00+00:00,account_1_no_decay,50000.0,50000.0,0
2024-01-02 16:40:00+00:00,account_1_no_decay,50000.0,50000.0,0
2024-01-02 16:45:00+00:00,account_1_no_decay,50000.0,50000.0,0
2024-01-02 16:50:00+00:00,account_1_no_decay,50000.0,49981.41560265394,1
2024-01-02 16:55:00+00:00,account_1_no_decay,50000.0,49954.54659444277,1
2024-01-02 17:00:00+00:00,account_1_no_decay,49937.5,49937.5,0
2024-01-02 17:05:00+00:00,account_1_no_decay,49937.5,49956.435566601,1
2024-01-02 17:10:00+00:00,account_1_no_decay,49937.5,49969.35630616404,1
2024-01-02 17:15:00+00:00,account_1_no_decay,49937.5,49973.81173359956,1
2024-01-02 17:20:00+00:00,account_1_no_decay,49937.5,49977.1543376381,2
2024-01-02 17:25:00+00:00,account_1_no_decay,49937.5,50041.594998178596,2
2024-01-02 17:30:00+00:00,account_1_no_decay,50062.34375,50162.107336169545,1
2024-01-02 17:35:00+00:00,account_1_no_decay,50187.1875,50181.11701521188,1
2024-01-02 17:40:00+00:00,account_1_no_decay,50187.1875,50191.23448985875,1
2024-01-02 17:45:00+00:00,account_1_no_decay,50187.1875,50202.476128355265,1
2024-01-02 17:50:00+00:00,account_1_no_decay,50187.1875,50175.001216645614,2
2024-01-02 17:55:00+00:00,account_1_no_decay,50187.1875,50098.43382741309,2
2024-01-02 18:00:00+00:00,account_1_no_decay,50061.8755859375,50061.8755859375,0
2024-01-02 18:05:00+00:00,account_1_no_decay,50061.8755859375,50058.74079619991,1
2024-01-02 18:10:00+00:00,account_1_no_decay,50061.8755859375,50030.07986145623,1
2024-01-02 18:15:00+00:00,account_1_no_decay,50061.8755859375,50048.440772776405,1
2024-01-02 18:20:00+00:00,account_1_no_decay,50061.8755859375,50048.888455757704,2
2024-01-02 18:25:00+00:00,account_1_no_decay,49999.29824145508,49960.362360875566,1
2024-01-02 18:30:00+00:00,account_1_no_decay,49936.720896972656,49936.720896972656,0
2024-01-02 18:35:00+00:00,account_1_no_decay,49936.720896972656,49927.70646989204,1
2024-01-02 18:40:00+00:00,account_1_no_decay,49936.720896972656,49937.27734308875,1
2024-01-02 18:45:00+00:00,account_1_no_decay,49936.720896972656,49931.04514658856,1
2024-01-02 18:50:00+00:00,account_1_no_decay,49936.720896972656,50004.374955488536,2
2024-01-02 18:55:00+00:00,account_1_no_decay,49936.720896972656,49995.91810519152,2
2024-01-02 19:00:00+00:00,account_1_no_decay,49936.720896972656,49975.44362552508,2
2024-01-02 19:05:00+00:00,account_1_no_decay,49936.720896972656,49973.44006545808,3
2024-01-02 19:10:00+00:00,account_1_no_decay,49936.720896972656,49988.80069263839,3
2024-01-02 19:15:00+00:00,account_1_no_decay,49936.720896972656,50040.22540102465,3
2024-01-02 19:20:00+00:00,account_1_no_decay,49936.720896972656,49936.66232680416,4
2024-01-02 19:25:00+00:00,account_1_no_decay,49936.720896972656,50052.47319621955,4
2024-01-02 19:30:00+00:00,account_1_no_decay,49936.720896972656,49986.55008593694,4
2024-01-02 19:35:00+00:00,account_1_no_decay,49936.720896972656,49908.81124799443,5
2024-01-02 19:40:00+00:00,account_1_no_decay,49936.720896972656,49922.17589945169,5
2024-01-02 19:45:00+00:00,account_1_no_decay,49936.720896972656,50309.750791712264,5
2024-01-02 19:50:00+00:00,account_1_no_decay,49936.720896972656,50411.383060676926,6
2024-01-02 19:55:00+00:00,account_1_no_decay,50186.404501457524,50508.10101249112,4
2024-01-02 20:00:00+00:00,account_1_no_decay,50186.404501457524,50514.792282337505,4
2024-01-02 20:05:00+00:00,account_1_no_decay,50311.24630369996,50611.42064667101,4
