account_name,final_cash,final_equity,closed_trades,wins,losses,total_pnl
account_1_no_decay,77167.4787444092,77354.92188869992,6082,2202,3880,27167.478744409334
account_2_decay,82590.48196841615,82791.09963416457,6076,2226,3850,32590.481968415912
